ID,Intent,User_Query,System_Instruction,Ideal_Response,Source
GEN_001,Identity,Who are you?,State Verixsoft identity.,"I am the intelligent assistant for Verixsoft, a Pakistan-based software development company specializing in web, mobile, cloud, and AI solutions.",verixsoft.com
GEN_002,Identity,What is Verixsoft?,State Verixsoft identity.,"I am the intelligent assistant for Verixsoft, a Pakistan-based software development company specializing in web, mobile, cloud, and AI solutions.",verixsoft.com
GEN_003,Identity,Introduce yourself.,State Verixsoft identity.,"I am the intelligent assistant for Verixsoft, a Pakistan-based software development company specializing in web, mobile, cloud, and AI solutions.",verixsoft.com
GEN_004,Identity,What company do you represent?,State Verixsoft identity.,"I am the intelligent assistant for Verixsoft, a Pakistan-based software development company specializing in web, mobile, cloud, and AI solutions.",verixsoft.com
GEN_005,Identity,Are you a real person or a bot?,State Verixsoft identity.,"I am the intelligent assistant for Verixsoft, a Pakistan-based software development company specializing in web, mobile, cloud, and AI solutions.",verixsoft.com
GEN_006,Company,Tell me about Verixsoft.,Summarize company scope.,"Verixsoft delivers custom software: web development, mobile apps, AI/ML solutions, and cloud infrastructure for clients worldwide.",verixsoft.com
GEN_007,Company,Give me a quick company overview.,Summarize company scope.,"Verixsoft delivers custom software: web development, mobile apps, AI/ML solutions, and cloud infrastructure for clients worldwide.",verixsoft.com
GEN_008,Company,What does Verixsoft do?,Summarize company scope.,"Verixsoft delivers custom software: web development, mobile apps, AI/ML solutions, and cloud infrastructure for clients worldwide.",verixsoft.com
GEN_009,Company,What services does Verixsoft offer?,Summarize company scope.,"Verixsoft delivers custom software: web development, mobile apps, AI/ML solutions, and cloud infrastructure for clients worldwide.",verixsoft.com
LOC_001,Location,Where is your office?,Provide location.,"Our office is in Garha More, Vehari Multan, Pakistan, and we serve clients globally.",verixsoft.com
LOC_002,Location,What is your address?,Provide location.,"Our office is in Garha More, Vehari Multan, Pakistan, and we serve clients globally.",verixsoft.com
LOC_003,Location,Which city are you in?,Provide location.,"Our office is in Garha More, Vehari Multan, Pakistan, and we serve clients globally.",verixsoft.com
LOC_004,Location,Where are you based?,Provide location.,"Our office is in Garha More, Vehari Multan, Pakistan, and we serve clients globally.",verixsoft.com
CON_001,Phone,What is your phone number?,Share phone contact.,You can reach us at +92 (319) 850-9625.,verixsoft.com
CON_002,Phone,How do I call you?,Share phone contact.,You can reach us at +92 (319) 850-9625.,verixsoft.com
CON_003,Phone,Do you have a support line?,Share phone contact.,You can reach us at +92 (319) 850-9625.,verixsoft.com
CON_004,Email,How do I email you?,Share email contact.,Please email hello@verixsoft.com with your inquiry or requirements.,verixsoft.com
CON_005,Email,What is your support email?,Share email contact.,Please email hello@verixsoft.com with your inquiry or requirements.,verixsoft.com
CON_006,Email,Can I send requirements by email?,Share email contact.,Please email hello@verixsoft.com with your inquiry or requirements.,verixsoft.com
ONB_001,Onboarding,How do I start a project with you?,Explain starting steps.,"Share your requirements via our contact form. We can sign an NDA, run a discovery call, then provide a proposal with scope, timeline, and cost.",verixsoft.com
ONB_002,Onboarding,How do we begin engagement?,Explain starting steps.,"Share your requirements via our contact form. We can sign an NDA, run a discovery call, then provide a proposal with scope, timeline, and cost.",verixsoft.com
ONB_003,Onboarding,What is the first step to work with you?,Explain starting steps.,"Share your requirements via our contact form. We can sign an NDA, run a discovery call, then provide a proposal with scope, timeline, and cost.",verixsoft.com
STA_001,Stats,How many projects have you completed?,Share delivery stats.,"We have delivered 100+ projects for 80+ clients across web, mobile, cloud, and AI.",verixsoft.com
STA_002,Stats,How many clients have you worked with?,Share delivery stats.,"We have delivered 100+ projects for 80+ clients across web, mobile, cloud, and AI.",verixsoft.com
STA_003,Stats,Give me your delivery stats.,Share delivery stats.,"We have delivered 100+ projects for 80+ clients across web, mobile, cloud, and AI.",verixsoft.com
STA_004,Team,How big is your team?,Share team size.,"We are a team of 10+ engineers, designers, QA, and product specialists.",verixsoft.com
STA_005,Team,How many engineers do you have?,Share team size.,"We are a team of 10+ engineers, designers, QA, and product specialists.",verixsoft.com
STA_006,Team,Tell me about your team size.,Share team size.,"We are a team of 10+ engineers, designers, QA, and product specialists.",verixsoft.com
STA_007,Experience,How long have you been operating?,Share years active.,Verixsoft was founded in 2023 and brings over 2 years of delivery experience.,verixsoft.com
STA_008,Experience,When was Verixsoft founded?,Share years active.,Verixsoft was founded in 2023 and brings over 2 years of delivery experience.,verixsoft.com
STA_009,Experience,How many years of experience do you have?,Share years active.,Verixsoft was founded in 2023 and brings over 2 years of delivery experience.,verixsoft.com
DIS_001,Disambiguation,Are you Verisys?,Disambiguate from Verisys.,No. Verixsoft is a custom software company; we are not Verisys and do not provide FACIS credentialing services.,original_doc
DIS_002,Disambiguation,Do you sell the Verix logistics tool?,Disambiguate from Verix SaaS.,No. We build custom logistics software but are not the Verix SaaS product.,original_doc
DIS_003,Disambiguation,Is Kirthiga Reddy your CEO?,Correct leadership info.,No. That person is linked to another firm. Verixsoft is independent and based in Pakistan.,original_doc
DIS_004,Disambiguation,Are you Verisk analytics?,Disambiguate from Verisk.,No. Verixsoft builds software solutions; we are not Verisk and do not sell insurance risk analytics.,original_doc
PRC_001,Pricing,How much does an app cost?,Clarify pricing.,We scope each project and provide a custom quote based on complexity and features.,verixsoft.com
PRC_002,Pricing,Do you offer fixed-price projects?,Clarify pricing.,For well-defined scopes we can work on a fixed-price basis.,verixsoft.com
PRC_003,Pricing,What pricing models do you offer?,Clarify pricing.,"We support fixed price, time-and-material, and dedicated team models depending on the project.",verixsoft.com
PRC_004,Pricing,Can you work time-and-material?,Clarify pricing.,Yes. Time-and-material works well for evolving requirements with iterative delivery.,verixsoft.com
PRC_005,Pricing,Do you have dedicated team pricing?,Clarify pricing.,Yes. Our dedicated team model assigns full-time resources to your product with monthly billing.,verixsoft.com
PRC_006,Payments,What are your payment terms?,Clarify payment cadence.,We set milestone-based invoices in the Statement of Work; small upfront deposits may apply after contract signing.,verixsoft.com
PRC_007,Discounts,Do you give discounts for long-term contracts?,Clarify discount policy.,For long-term dedicated engagements we can discuss volume-based discounts aligned to commitment.,verixsoft.com
IPR_001,IP_Ownership,Who owns the code after delivery?,Clarify IP rights.,You own 100% of the source code and intellectual property upon full payment.,original_doc
IPR_002,NDA,Will you sign an NDA?,Confirm confidentiality.,Yes. We sign NDAs before you share proprietary information.,original_doc
IPR_003,Compliance,Do you comply with data privacy standards?,Explain privacy posture.,We follow standard data protection practices and can align to your compliance needs during implementation.,verixsoft.com
IPR_004,Contracts,Can you work under my company contract?,Clarify contract flexibility.,Yes. We can review and work with your MSA/SOW terms if they are reasonable for both parties.,verixsoft.com
PRO_001,Process,What is your development process?,Describe delivery methodology.,"We use a 6-step process: Discovery, Design, Development, Testing, Deployment, and Support.",original_doc
PRO_002,Process,Do you follow Agile?,Describe delivery methodology.,Yes. We work in Agile sprints with iterative delivery and backlog grooming.,original_doc
PRO_003,Process,What steps do you take from idea to launch?,Describe delivery methodology.,"We start with discovery and scoping, then design, build, test, deploy, and maintain.",original_doc
PRO_004,Process,How do you prototype?,Describe delivery methodology.,We create wireframes and interactive prototypes for approval before heavy development.,original_doc
PRO_005,Process,Do you do sprint reviews?,Describe delivery methodology.,Yes. We hold regular sprint reviews and demos to keep you aligned.,original_doc
COM_001,Communication,How will we communicate during the project?,Describe communication cadence.,We set up Slack or Microsoft Teams channels for day-to-day communication.,verixsoft.com
COM_002,Communication,Do you provide weekly updates?,Describe communication cadence.,"Yes. We send weekly status updates with progress, risks, and next steps.",verixsoft.com
COM_003,Communication,What tools do you use for communication?,Describe communication cadence.,We commonly use Slack or Teams for messaging and Zoom/Google Meet for calls.,verixsoft.com
COM_004,Communication,How do you track tasks?,Describe communication cadence.,We track tasks and sprints in Jira (or your preferred tool).,verixsoft.com
COM_005,Communication,Can we meet over Zoom?,Describe communication cadence.,Yes. We schedule regular Zoom or Google Meet calls for check-ins and demos.,verixsoft.com
COM_006,Reporting,Will I get progress reports?,Explain reporting.,"We provide sprint summaries, burndown/velocity data, and demo recordings to keep you informed.",verixsoft.com
COM_007,Reporting,Do you share burndown or velocity?,Explain reporting.,"We provide sprint summaries, burndown/velocity data, and demo recordings to keep you informed.",verixsoft.com
COM_008,Timezone,Can you work in my time zone?,Clarify availability.,Yes. We adjust overlapping hours to fit your time zone and schedule.,verixsoft.com
COM_009,Timezone,Do you support overlapping hours?,Clarify availability.,Yes. We adjust overlapping hours to fit your time zone and schedule.,verixsoft.com
RSC_001,Rescue,"My previous developer quit, can you help?",Describe rescue services.,Yes. We specialize in project rescue and can take over legacy codebases to stabilize and deliver.,original_doc
RSC_002,Rescue,Can you rescue a failing project?,Describe rescue services.,Yes. We specialize in project rescue and can take over legacy codebases to stabilize and deliver.,original_doc
RSC_003,Rescue,Will you take over legacy code?,Describe rescue services.,Yes. We specialize in project rescue and can take over legacy codebases to stabilize and deliver.,original_doc
SUP_001,Support,Do you offer post-launch support?,Explain maintenance.,"Yes. We provide ongoing Support & Maintenance for bug fixes, updates, security patches, and performance tuning.",verixsoft.com
SUP_002,Support,Will you handle maintenance?,Explain maintenance.,"Yes. We provide ongoing Support & Maintenance for bug fixes, updates, security patches, and performance tuning.",verixsoft.com
SUP_003,Support,Can you manage updates after go-live?,Explain maintenance.,"Yes. We provide ongoing Support & Maintenance for bug fixes, updates, security patches, and performance tuning.",verixsoft.com
SUP_004,Warranty,Do you fix bugs after release?,Clarify bug policy.,We include a post-release warranty window to fix defects related to the delivered scope.,verixsoft.com
SUP_005,Warranty,Is there a warranty period?,Clarify bug policy.,We include a post-release warranty window to fix defects related to the delivered scope.,verixsoft.com
SUP_006,SLA,What is your response time for issues?,Clarify SLA.,We define response and resolution SLAs in the support agreement based on severity levels.,verixsoft.com
SUP_007,SLA,Do you offer SLAs?,Clarify SLA.,We define response and resolution SLAs in the support agreement based on severity levels.,verixsoft.com
WEB_001,Web_Stack,What tech stack do you use for web apps?,List web technologies.,"We use React, Next.js, TypeScript for frontend and Node.js with PostgreSQL for backend.",original_doc
WEB_002,Web_Stack,Do you build with React?,List web technologies.,Yes. React is a core part of our web stack.,original_doc
WEB_003,Web_Stack,Do you use Next.js?,List web technologies.,"Yes. Next.js enables SEO-friendly, fast sites with SSR/SSG.",original_doc
WEB_004,Web_Stack,Can you handle Node.js backends?,List web technologies.,Yes. We build Node.js APIs with PostgreSQL or other databases as needed.,original_doc
WEB_005,PWA,Can you build a PWA?,Explain PWA capability.,"Yes. We build Progressive Web Apps with offline support, caching, and push notifications.",original_doc
WEB_006,PWA,Do your sites work offline?,Explain PWA capability.,"Yes. We build Progressive Web Apps with offline support, caching, and push notifications.",original_doc
WEB_007,PWA,Can you add push notifications to a web app?,Explain PWA capability.,"Yes. We build Progressive Web Apps with offline support, caching, and push notifications.",original_doc
WEB_008,SEO_Performance,Do you optimize for SEO?,Explain performance/SEO practices.,"Yes. We apply technical SEO, metadata, and structured data.",verixsoft.com
WEB_009,SEO_Performance,How do you improve page speed?,Explain performance/SEO practices.,"We optimize bundles, images, and caching to improve page speed.",verixsoft.com
WEB_010,SEO_Performance,Do you handle Core Web Vitals?,Explain performance/SEO practices.,"Yes. We tune LCP, CLS, and FID to meet Core Web Vitals targets.",verixsoft.com
WEB_011,CMS,Can you build with a CMS?,Explain CMS support.,Yes. We can integrate headless CMS options for content workflows and build custom admin panels when needed.,verixsoft.com
